Event,RunTime,ADC,SiPM,DownTime,Temp
79,75778,357,68.97,14831,24.66
80,76931,807,770.01,15019,25.52
81,78326,88,20.96,15395,25.2
82,79627,275,47.73,15582,24.66
83,82279,319,57.64,16136,25.52
84,82514,238,40.82,16140,25.09
85,82567,271,46.93,16145,25.52
86,82916,240,41.21,16150,25.63
87,85952,280,48.67,16704,25.3
88,87908,335,61.77,17075,25.2
89,88550,57,16.93,17263,25.41
90,91772,371,73.82,17814,25.2
91,93489,140,25.42,18186,25.41
92,94667,127,24.18,18374,25.52
93,94803,255,43.96,18379,24.98
94,97219,88,20.96,18932,25.52
95,98619,76,19.69,19119,25.3
96,98741,280,48.67,19123,24.77
97,98747,227,38.83,19128,26.05
98,99498,211,35.96,19316,24.44
99,101323,134,24.82,19686,25.73
100,101504,337,62.3,19691,25.3
101,101535,396,85.28,19696,25.2
102,101974,79,20.03,19701,25.52
103,102457,63,17.91,19889,25.3
104,103272,207,35.26,20077,24.77
105,106397,62,17.75,20631,25.52
106,107770,327,59.28,20819,25.3
107,107928,113,23.02,20824,25.3
108,109326,312,55.68,21195,25.2
109,109377,124,23.92,21200,25.73
110,112281,99,21.91,21754,25.3
111,112670,88,20.96,21759,25.84
112,113895,274,47.52,21947,25.09
113,114813,352,66.89,22135,25.63
114,115718,499,141.24,22324,24.87
115,115811,115,23.18,22329,25.2
116,117305,380,78.12,22700,24.44
117,117337,209,35.61,22704,25.73
118,117605,103,22.23,22709,25.41
119,117622,287,50.23,22714,25.2
120,121347,285,49.78,23455,24.44
121,123232,158,27.53,23828,24.98
122,124556,387,81.05,24016,25.41
123,125333,96,21.67,24206,25.52
124,125762,481,129.57,24211,25.2
125,126957,120,23.58,24402,25.3
126,128954,202,34.38,24773,25.3
127,130387,118,23.42,25144,26.05
128,130666,71,19.06,25149,24.98
129,132958,152,26.78,25520,25.52
130,134544,60,17.43,25891,25.41
131,134955,57,16.93,25896,24.77
132,136214,307,54.48,26267,25.52
133,136714,94,21.5,26272,24.87
134,138633,77,19.81,26642,25.41
135,138846,103,22.23,26647,25.2
136,138888,101,22.08,26652,24.98
137,139271,98,21.83,26840,24.77
138,139685,389,81.58,26845,25.52
139,140262,73,19.32,27035,25.2
140,140655,270,46.71,27040,25.3
141,140825,231,39.55,27045,25.95
142,140837,419,97.2,27050,24.98
143,141459,89,21.05,27240,24.66
144,142739,96,21.67,27427,25.41
145,142911,63,17.91,27432,25.41
146,143913,319,57.64,27620,24.98
147,144195,204,34.73,27809,25.52
148,144289,140,25.42,27814,25.41
149,146833,368,72.93,28185,25.52
150,147238,174,29.79,28374,25.41
151,148556,353,67.64,28562,24.98
152,150224,105,22.39,28935,24.98
153,150767,120,23.58,28940,24.98
154,152352,345,64.98,29311,25.3
155,153402,329,59.91,29500,25.41
156,154238,163,28.2,29689,25.52
157,154816,99,21.91,29694,25.41
158,156706,319,57.64,30065,25.41
159,160466,398,85.63,30806,25.41
160,161520,65,18.22,30996,25.52
161,161570,210,35.78,31001,24.87
162,162982,249,42.85,31189,24.77
163,163494,117,23.34,31378,24.77
164,163775,177,30.25,31383,25.63
165,164343,419,97.2,31570,25.63
166,164768,60,17.43,31575,25.41
167,164948,120,23.58,31580,24.98
168,165204,143,25.74,31768,24.77
169,165384,192,32.67,31773,25.2
170,167887,62,17.75,32144,24.44
171,167970,489,138.11,32149,25.41
172,168663,120,23.58,32340,25.84
173,168683,115,23.18,32345,24.98
174,169644,124,23.92,32533,25.2
175,170535,60,17.43,32721,24.98
176,172433,115,23.18,33092,25.09
177,172486,62,17.75,33097,25.95
178,173396,364,71.71,33285,24.98
179,174950,271,46.93,33475,25.2
180,177220,295,51.75,34032,24.98
181,177232,93,21.41,34037,25.3
182,178307,83,20.46,34225,25.95
183,179647,259,44.69,34413,25.41
184,180360,53,16.22,34602,24.98
185,180618,57,16.93,34606,24.98
186,184369,369,73.42,35343,25.3
187,184871,140,25.42,35348,24.77
188,186215,254,43.77,35719,25.63
189,186407,352,66.89,35724,24.77
190,189379,304,53.73,36281,25.73
191,192991,345,64.98,36838,24.87
192,193439,71,19.06,37027,24.87
193,193844,300,52.79,37032,26.05
194,194276,377,76.28,37221,25.52
195,194343,103,22.23,37226,25.41
196,194739,120,23.58,37231,25.09
197,195660,67,18.51,37419,25.84
198,196892,269,46.58,37607,24.98
199,198808,113,23.02,37980,25.3
200,198820,88,20.96,37985,25.41
201,199257,51,15.86,38173,25.52
202,201722,71,19.06,38544,26.05
203,202272,176,30.09,38732,24.77
204,203239,56,16.76,38920,25.63
205,203450,263,45.37,38925,25.3
206,203515,62,17.75,38930,25.52
207,204687,312,55.68,39118,24.98
208,205342,153,26.9,39307,25.52
209,205438,174,29.79,39312,24.87
210,206742,142,25.64,39500,24.87
211,207653,387,81.05,39688,25.09
212,208934,96,21.67,39878,24.66
213,209002,263,45.37,39883,25.2
214,209596,79,20.03,40071,25.52
215,209755,96,21.67,40076,25.63
216,210382,56,16.76,40264,24.44
217,210814,220,37.58,40269,24.87
218,212498,192,32.67,40640,25.2
219,213932,273,47.25,40828,24.98
220,217575,124,23.92,41569,25.52
221,218637,199,33.86,41757,25.3
222,218753,103,22.23,41762,25.63
223,219443,319,57.64,41949,24.87
224,220384,121,23.66,42138,25.73
225,221350,326,59.13,42326,25.63
226,221704,332,61.17,42331,25.09
227,222359,281,48.9,42520,25.41
228,222394,108,22.63,42525,25.09
229,223250,134,24.82,42713,25.2
230,223406,69,18.79,42718,24.87
231,223445,71,19.06,42723,25.09
232,223569,184,31.36,42728,25.3
233,224428,219,37.38,42917,25.63
234,225354,281,48.9,43105,25.52
235,225367,348,65.64,43110,24.77
236,225505,348,65.64,43115,25.41
237,226849,62,17.75,43304,25.52
238,228456,96,21.67,43675,24.98
239,228490,277,48.09,43680,24.66
240,228511,89,21.05,43685,24.87
241,228538,113,23.02,43690,25.41
242,228822,66,18.36,43695,24.98
243,228956,127,24.18,43700,25.84
244,229207,227,38.83,43888,25.73
245,229820,96,21.67,43893,25.3
246,234218,61,17.6,44813,24.98
247,234877,73,19.32,44818,24.77
248,235342,368,72.93,45006,25.2
249,236875,615,227.36,45196,25.73
250,239717,115,23.18,45762,24.87
251,239927,94,21.5,45767,25.2
252,244940,363,71.2,46686,25.2
253,248369,268,46.26,47431,24.87
254,248478,120,23.58,47436,25.41
255,248925,352,66.89,47441,25.63
256,251940,248,42.69,47998,25.3
257,252402,300,52.79,48187,25.2
258,252473,92,21.32,48192,24.98
259,253212,271,46.93,48380,25.2
260,253230,312,55.68,48385,25.84
261,253304,88,20.96,48390,25.52
262,253622,56,16.76,48395,24.98
263,254551,255,43.96,48583,25.3
264,254719,134,24.82,48588,25.09
265,258640,189,32.16,49325,26.05
