Event,RunTime,ADC,SiPM,DownTime,Temp
413,170341,721,433.48,33959,24.44
414,170541,97,21.75,33963,24.44
415,171424,537,162.17,34151,24.44
416,171830,79,20.03,34156,24.44
417,172795,76,19.69,34344,24.44
418,173437,633,241.23,34532,24.44
419,173580,423,97.36,34537,24.44
420,174189,295,51.75,34726,24.44
421,175374,56,16.76,34915,24.44
422,176245,736,412.77,35103,24.44
423,176755,463,119.23,35108,24.44
424,176841,878,988.09,35113,24.44
425,176932,103,22.23,35118,24.44
426,177752,423,97.36,35306,24.44
427,178574,224,38.29,35495,24.44
428,178800,433,104.37,35500,24.44
429,178869,465,122.12,35505,24.44
430,179486,192,32.67,35696,24.44
431,179573,71,19.06,35701,24.44
432,179878,428,101.58,35706,24.44
433,180208,198,33.69,35895,24.44
434,180906,492,134.92,35900,24.44
435,180985,359,69.86,35905,24.44
436,181360,263,45.37,36093,24.44
437,181566,284,49.41,36098,24.44
438,181581,476,129.76,36103,24.44
439,181691,323,58.48,36108,24.44
440,181862,177,30.25,36113,24.44
441,182943,408,90.57,36300,24.44
442,183295,316,56.81,36490,24.44
443,183743,391,82.35,36495,24.44
444,184207,106,22.47,36685,24.44
445,184260,384,80.08,36689,24.44
446,184529,403,88.99,36694,24.44
447,184684,511,149.39,36699,24.44
448,184943,73,19.32,36704,24.44
449,184960,106,22.47,36709,24.44
450,185362,339,62.98,36897,24.44
451,185388,207,35.26,36902,24.44
452,185462,504,143.61,36907,24.44
453,185581,79,20.03,36912,24.44
454,185788,50,15.67,36917,24.44
455,186361,96,21.67,37105,24.44
456,186369,421,97.33,37110,24.44
457,186887,591,188.65,37115,24.44
458,187353,225,38.48,37307,24.44
459,187395,67,18.51,37312,24.44
460,187517,440,109.25,37317,24.44
461,187596,79,20.03,37322,24.44
462,187922,739,495.61,37327,24.44
463,188711,71,19.06,37519,24.44
464,188734,56,16.76,37524,24.44
465,188806,352,66.89,37529,24.44
466,189664,508,144.95,37718,24.44
467,189686,79,20.03,37723,24.44
468,190328,679,318.29,37911,24.44
469,191553,57,16.93,38103,24.44
470,191833,270,46.71,38108,24.44
471,192771,70,18.93,38297,24.44
472,194682,263,45.37,38668,24.44
473,194804,423,97.36,38673,24.44
474,195295,344,64.67,38862,24.44
475,195879,51,15.86,38867,24.44
476,196766,185,31.51,39055,24.44
477,196801,112,22.94,39060,24.44
478,196931,243,41.74,39065,24.44
479,197277,88,20.96,39254,24.44
480,197529,783,633.54,39259,24.44
481,197642,103,22.23,39264,24.44
482,198280,113,23.02,39452,24.44
483,198882,142,25.64,39457,24.44
484,200247,71,19.06,39828,24.44
485,200452,558,172.78,39833,24.44
486,200588,217,37.04,39838,24.44
487,200599,120,23.58,39843,24.44
488,200619,81,20.25,39848,24.44
489,201559,440,109.25,40041,24.44
490,202199,57,16.93,40231,24.44
491,202232,88,20.96,40236,24.44
492,202533,361,70.62,40241,24.44
493,203948,71,19.06,40430,24.44
494,204557,236,40.44,40618,24.44
495,204655,185,31.51,40623,24.44
496,205563,89,21.05,40811,24.44
497,205865,275,47.73,40815,24.44
498,206440,305,53.88,41004,24.44
499,206783,49,15.48,41009,24.44
500,206891,579,187.32,41014,24.44
501,207554,812,680.88,41206,24.44
502,208311,318,57.28,41398,24.44
503,208444,543,164.77,41403,24.44
504,209250,217,37.04,41595,24.44
505,209641,127,24.18,41600,24.44
506,209648,156,27.28,41605,24.44
507,209706,1023,2152.99,41610,24.44
508,209807,323,58.48,41615,24.44
509,210814,332,61.17,41804,24.44
510,211251,451,113.08,41993,24.44
511,211901,126,24.09,41998,24.44
512,212250,227,38.83,42186,24.44
513,212689,293,51.29,42191,24.44
514,212890,241,41.39,42196,24.44
515,214426,254,43.77,42569,24.44
516,214487,179,30.55,42574,24.44
517,214712,179,30.55,42578,24.44
518,215987,198,33.69,42765,24.44
519,216462,120,23.58,42954,24.44
520,216578,89,21.05,42959,24.44
521,216829,192,32.67,42963,24.44
522,217407,70,18.93,43151,24.44
523,217479,339,62.98,43156,24.44
524,217621,473,126.29,43161,24.44
525,217882,562,184.71,43166,24.44
526,218280,364,71.71,43358,24.44
527,218374,537,162.17,43363,24.44
528,218471,527,155.96,43368,24.44
529,218502,995,2207.72,43373,24.44
530,218890,300,52.79,43378,24.44
531,220299,487,132.65,43751,24.44
532,220770,339,62.98,43756,24.44
533,221337,579,187.32,43945,24.44
534,221404,115,23.18,43950,24.44
535,221765,415,95,43955,24.44
536,221860,752,487.99,43960,24.44
537,222953,131,24.54,44152,24.44
538,223258,306,54.23,44340,24.44
539,223914,335,61.77,44345,24.44
540,223930,96,21.67,44350,24.44
541,224254,143,25.74,44538,24.44
542,224430,76,19.69,44543,24.44
543,225800,99,21.91,44731,24.44
544,226336,428,101.58,44919,24.44
545,226678,476,129.76,44923,24.44
546,226932,384,80.08,44928,24.44
547,227341,67,18.51,45118,24.44
548,228906,352,66.89,45306,24.44
549,228913,143,25.74,45311,24.44
550,229519,487,132.65,45499,24.44
551,229609,92,21.32,45504,24.44
552,229737,134,24.82,45509,24.44
553,230767,88,20.96,45697,24.44
554,230793,300,52.79,45702,24.44
555,231630,83,20.46,45891,24.44
556,231717,675,317.99,45896,24.44
557,231779,92,21.32,45901,24.44
558,232760,499,141.24,46089,24.44
559,232781,281,48.9,46094,24.44
560,233275,96,21.67,46283,24.44
561,233357,120,23.58,46288,24.44
562,233493,476,129.76,46293,24.44
563,233623,252,43.42,46298,24.44
564,234480,76,19.69,46487,24.44
565,234587,327,59.28,46492,24.44
566,234649,369,73.42,46497,24.44
567,234895,67,18.51,46502,24.44
568,234933,504,143.61,46507,24.44
569,234950,96,21.67,46512,24.44
